,0,1,2,3
0,Length of railway and water way 2011,,,
1,(Kilometer),,,
2,"
Upazila","Total railway
(all broad gage, meter gage & duel gage)",Water way in monsoon (river + canal),"Water way round the year
(river + canal)"
3,Biral,36,28,0
4,Birampur,11,0,0
5,Birganj,0,16,16
6,Bochaganj,18,0,0
7,Chirirbandar,20,25,0
8,Dinajpur Sadar,8,48,22
9,Fulbari,12,0,0
10,Ghoraghat,0,30,16
11,Hakimpur,12,2,2
12,Kaharole,0,58,0
13,Khansama,0,38.4,38.4
14,Nawabganj,0,0,0
15,Parbatipur,85,0,0
16,Total,202,245.4,94.4
