,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Pubali bank - Number of  branch,Pubali bank - Account - S.D,Pubali bank - Account - C.D,Pubali bank - Account - F.D,Pubali bank - Account - S.T.D,Uttara bank - Number of  branch,Uttara bank - Account - S.D,Uttara bank - Account - C.D,Uttara bank - Account - F.D,Uttara bank - Account - S.T.D
3,Belabo,0,0,0,0,0,0,0,0,0,0
4,Manohardi,0,0,0,0,0,0,0,0,0,0
5,Narsingdi Sadar,2,4765,1045,101,39,2,4559,2018,461,150
6,Palash,3,3220,384,12,0,1,4890,420,80,4
7,Roypura,0,0,0,0,0,0,0,0,0,0
8,Sibpur,0,0,0,0,0,0,0,0,0,0
9,Total,5,7985,1429,113,39,2,9449,2438,541,154
